========= before backward =========
Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Parameter353                                           (64,)   512.00B
Parameter354                                           (64,)   512.00B
Tensor355                                              (64,)   512.00B
Tensor356                                              (64,)   512.00B
Tensor357                                               (1,)   512.00B
Parameter358                                 (256, 64, 1, 1)    64.00K
Parameter359                                          (256,)     1.00K
Parameter360                                          (256,)     1.00K
Tensor361                                             (256,)     1.00K
Tensor362                                             (256,)     1.00K
Tensor363                                               (1,)   512.00B
Parameter364                                 (64, 256, 1, 1)    64.00K
Parameter365                                           (64,)   512.00B
Parameter366                                           (64,)   512.00B
Tensor367                                              (64,)   512.00B
Tensor368                                              (64,)   512.00B
Tensor369                                               (1,)   512.00B
Parameter370                                  (64, 64, 3, 3)   144.00K
Parameter371                                           (64,)   512.00B
Parameter372                                           (64,)   512.00B
Tensor373                                              (64,)   512.00B
Tensor374                                              (64,)   512.00B
Tensor375                                               (1,)   512.00B
Parameter376                                 (256, 64, 1, 1)    64.00K
Parameter377                                          (256,)     1.00K
Parameter378                                          (256,)     1.00K
Tensor379                                             (256,)     1.00K
Tensor380                                             (256,)     1.00K
Tensor381                                               (1,)   512.00B
Parameter382                                (128, 256, 1, 1)   128.00K
Parameter383                                          (128,)   512.00B
Parameter384                                          (128,)   512.00B
Tensor385                                             (128,)   512.00B
Tensor386                                             (128,)   512.00B
Tensor387                                               (1,)   512.00B
Parameter388                                (128, 128, 3, 3)   576.00K
Parameter389                                          (128,)   512.00B
