========= before backward =========
Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
roi_heads.box.feature_extractor.fc6.bias.grad             (1024,)     4.00K
roi_heads.box.feature_extractor.fc6.weight        (1024, 6272)    24.50M
roi_heads.box.feature_extractor.fc6.weight.grad        (1024, 6272)    24.50M
Parameter237                                         (2048,)     8.00K
Parameter238                                         (2048,)     8.00K
Tensor239                                            (2048,)     8.00K
Tensor240                                            (2048,)     8.00K
Tensor241                                               (1,)   512.00B
Parameter242                                     (575, 2048)     4.49M
Parameter243                                   (64, 3, 7, 7)    37.00K
Parameter244                                           (64,)   512.00B
Parameter245                                           (64,)   512.00B
Tensor246                                              (64,)   512.00B
Tensor247                                              (64,)   512.00B
Tensor248                                               (1,)   512.00B
Parameter249                                  (64, 64, 1, 1)    16.00K
Parameter250                                           (64,)   512.00B
Parameter251                                           (64,)   512.00B
Tensor252                                              (64,)   512.00B
Tensor253                                              (64,)   512.00B
Tensor254                                               (1,)   512.00B
Parameter255                                  (64, 64, 3, 3)   144.00K
Parameter256                                           (64,)   512.00B
Parameter257                                           (64,)   512.00B
Tensor258                                              (64,)   512.00B
Tensor259                                              (64,)   512.00B
Tensor260                                               (1,)   512.00B
Parameter261                                 (256, 64, 1, 1)    64.00K
Parameter262                                          (256,)     1.00K
Parameter263                                          (256,)     1.00K
Tensor264                                             (256,)     1.00K
Tensor265                                             (256,)     1.00K
Tensor266                                               (1,)   512.00B
Parameter267                                 (64, 256, 1, 1)    64.00K
Parameter268                                           (64,)   512.00B
Parameter269                                           (64,)   512.00B
Tensor270                                              (64,)   512.00B
Tensor271                                              (64,)   512.00B
Tensor272                                               (1,)   512.00B
Parameter273                                  (64, 64, 3, 3)   144.00K
Parameter274                                           (64,)   512.00B
Parameter275                                           (64,)   512.00B
Tensor276                                              (64,)   512.00B
Tensor277                                              (64,)   512.00B
Tensor278                                               (1,)   512.00B
Parameter279                                 (256, 64, 1, 1)    64.00K
Parameter280                                          (256,)     1.00K
Parameter281                                          (256,)     1.00K
Tensor282                                             (256,)     1.00K
Tensor283                                             (256,)     1.00K
Tensor284                                               (1,)   512.00B
Parameter285                                 (64, 256, 1, 1)    64.00K
Parameter286                                           (64,)   512.00B
Parameter287                                           (64,)   512.00B
Tensor288                                              (64,)   512.00B
Tensor289                                              (64,)   512.00B
Tensor290                                               (1,)   512.00B
Parameter291                                  (64, 64, 3, 3)   144.00K
Parameter292                                           (64,)   512.00B
Parameter293                                           (64,)   512.00B
Tensor294                                              (64,)   512.00B
Tensor295                                              (64,)   512.00B
Tensor296                                               (1,)   512.00B
Parameter297                                 (256, 64, 1, 1)    64.00K
Parameter298                                          (256,)     1.00K
Parameter299                                          (256,)     1.00K
Tensor300                                             (256,)     1.00K
Tensor301                                             (256,)     1.00K
Tensor302                                               (1,)   512.00B
Parameter303                                (128, 256, 1, 1)   128.00K
Parameter304                                          (128,)   512.00B
Parameter305                                          (128,)   512.00B
Tensor306                                             (128,)   512.00B
Tensor307                                             (128,)   512.00B
Tensor308                                               (1,)   512.00B
Parameter309                                (128, 128, 3, 3)   576.00K
Parameter310                                          (128,)   512.00B
Parameter311                                          (128,)   512.00B
Tensor312                                             (128,)   512.00B
Tensor313                                             (128,)   512.00B
Tensor314                                               (1,)   512.00B
Parameter315                                (512, 128, 1, 1)   256.00K
Parameter316                                          (512,)     2.00K
Parameter317                                          (512,)     2.00K
Tensor318                                             (512,)     2.00K
Tensor319                                             (512,)     2.00K
Tensor320                                               (1,)   512.00B
Parameter321                                (128, 512, 1, 1)   256.00K
Parameter322                                          (128,)   512.00B
Parameter323                                          (128,)   512.00B
Tensor324                                             (128,)   512.00B
Tensor325                                             (128,)   512.00B
Tensor326                                               (1,)   512.00B
Parameter327                                (128, 128, 3, 3)   576.00K
Parameter328                                          (128,)   512.00B
Parameter329                                          (128,)   512.00B
Tensor330                                             (128,)   512.00B
Tensor331                                             (128,)   512.00B
Tensor332                                               (1,)   512.00B
Parameter333                                (512, 128, 1, 1)   256.00K
Parameter334                                          (512,)     2.00K
Parameter335                                          (512,)     2.00K
Tensor336                                             (512,)     2.00K
Tensor337                                             (512,)     2.00K
Tensor338                                               (1,)   512.00B
Parameter339                                (128, 512, 1, 1)   256.00K
Parameter340                                          (128,)   512.00B
Parameter341                                          (128,)   512.00B
Tensor342                                             (128,)   512.00B
Tensor343                                             (128,)   512.00B
Tensor344                                               (1,)   512.00B
Parameter345                                (128, 128, 3, 3)   576.00K
Parameter346                                          (128,)   512.00B
Parameter347                                          (128,)   512.00B
Tensor348                                             (128,)   512.00B
Tensor349                                             (128,)   512.00B
Tensor350                                               (1,)   512.00B
Parameter351                                (512, 128, 1, 1)   256.00K
Parameter352                                          (512,)     2.00K
Parameter353                                          (512,)     2.00K
Tensor354                                             (512,)     2.00K
Tensor355                                             (512,)     2.00K
Tensor356                                               (1,)   512.00B
Parameter357                                (128, 512, 1, 1)   256.00K
Parameter358                                          (128,)   512.00B
Parameter359                                          (128,)   512.00B
Tensor360                                             (128,)   512.00B
Tensor361                                             (128,)   512.00B
Tensor362                                               (1,)   512.00B
Parameter363                                (128, 128, 3, 3)   576.00K
Parameter364                                          (128,)   512.00B
Parameter365                                          (128,)   512.00B
Tensor366                                             (128,)   512.00B
Tensor367                                             (128,)   512.00B
Tensor368                                               (1,)   512.00B
Parameter369                                (512, 128, 1, 1)   256.00K
Parameter370                                          (512,)     2.00K
Parameter371                                          (512,)     2.00K
Tensor372                                             (512,)     2.00K
Tensor373                                             (512,)     2.00K
Tensor374                                               (1,)   512.00B
Parameter375                                (256, 512, 1, 1)   512.00K
Parameter376                                          (256,)     1.00K
Parameter377                                          (256,)     1.00K
Tensor378                                             (256,)     1.00K
Tensor379                                             (256,)     1.00K
Tensor380                                               (1,)   512.00B
Parameter381                                (256, 256, 3, 3)     2.25M
Parameter382                                          (256,)     1.00K
Parameter383                                          (256,)     1.00K
Tensor384                                             (256,)     1.00K
Tensor385                                             (256,)     1.00K
Tensor386                                               (1,)   512.00B
Parameter387                               (1024, 256, 1, 1)     1.00M
Parameter388                                         (1024,)     4.00K
Parameter389                                         (1024,)     4.00K
Tensor390                                            (1024,)     4.00K
Tensor391                                            (1024,)     4.00K
Tensor392                                               (1,)   512.00B
Parameter393                               (256, 1024, 1, 1)     1.00M
Parameter394                                          (256,)     1.00K
Parameter395                                          (256,)     1.00K
Tensor396                                             (256,)     1.00K
Tensor397                                             (256,)     1.00K
Tensor398                                               (1,)   512.00B
Parameter399                                (256, 256, 3, 3)     2.25M
Parameter400                                          (256,)     1.00K
Parameter401                                          (256,)     1.00K
Tensor402                                             (256,)     1.00K
Tensor403                                             (256,)     1.00K
Tensor404                                               (1,)   512.00B
Parameter405                               (1024, 256, 1, 1)     1.00M
Parameter406                                         (1024,)     4.00K
Parameter407                                         (1024,)     4.00K
